name,playcount,listeners,mbid,url,streamable,tags
Taio Cruz,18093791,1687111,ba7d2626-38ce-4859-8495-bdb5732715c4,https://www.last.fm/music/Taio+Cruz,0,"rnb, pop, Hip-Hop"
George Michael,25451904,1684965,ccb8f30e-4d71-40c4-8b1d-846dafe73e2c,https://www.last.fm/music/George+Michael,0,"pop, 80s, soul"
Enrique Iglesias,31074769,1681776,35f866dc-c061-48ba-8157-cf2e0eac4857,https://www.last.fm/music/Enrique+Iglesias,0,"pop, latin, spanish"
Cyndi Lauper,19671705,1679007,7bd9e20e-74b9-446a-a2ed-a223f82a36e7,https://www.last.fm/music/Cyndi+Lauper,0,"pop, 80s, female vocalists"
Garbage,50000327,1678640,f9ef7a22-4262-4596-a2a8-1d19345b8e50,https://www.last.fm/music/Garbage,0,"rock, alternative, female vocalists"
Crystal Castles,111031072,1677044,b1570544-93ab-4b2b-8398-131735394202,https://www.last.fm/music/Crystal+Castles,0,"electronic, 8-bit, new rave"
Skrillex,50571067,1675496,ae002c5d-aac6-490b-a39a-30aa9e2edf2b,https://www.last.fm/music/Skrillex,0,"dubstep, electronic, breakcore"
Lou Reed,32581358,1675029,9d1ebcfe-4c15-4d18-95d3-d919898638a1,https://www.last.fm/music/Lou+Reed,0,"rock, classic rock, singer-songwriter"
A Perfect Circle,80507896,1673042,078a9376-3c04-4280-b7d7-b20e158f345d,https://www.last.fm/music/A+Perfect+Circle,0,"alternative rock, Progressive rock, rock"
Eurythmics,18079986,1664787,b4d32cff-f19e-455f-86c4-f347d824ca61,https://www.last.fm/music/Eurythmics,0,"80s, new wave, pop"
Stone Temple Pilots,35729928,1664686,8c32bb01-58a3-453b-8050-8c0620edb0e5,https://www.last.fm/music/Stone+Temple+Pilots,0,"Grunge, rock, alternative rock"
Pantera,71138064,1660683,541f16f5-ad7a-428e-af89-9fa1b16d3c9c,https://www.last.fm/music/Pantera,0,"thrash metal, metal, groove metal"
Lifehouse,39024989,1657437,04591295-6d94-45cb-b6c7-1ae17c6f380e,https://www.last.fm/music/Lifehouse,0,"rock, alternative rock, alternative"
Iggy Pop,29803013,1656630,f37b3f31-b1f8-4b88-8cb5-b34f709b17d7,https://www.last.fm/music/Iggy+Pop,0,"punk, rock, punk rock"
Motörhead,68046021,1652041,57961a97-3796-4bf7-9f02-a985a8979ae9,https://www.last.fm/music/Mot%C3%B6rhead,0,"heavy metal, hard rock, metal"
Miles Davis,55811908,1643876,8e51f2f4-4541-4526-8a2d-c65ecc9c0ee4,https://www.last.fm/music/Miles+Davis,0,"jazz, trumpet, Fusion"
Backstreet Boys,35685039,1639174,2f569e60-0a1b-4fb9-95a4-3dc1525d1aad,https://www.last.fm/music/Backstreet+Boys,0,"pop, boybands, 90s"
deadmau5,56450254,1637326,4a00ec9d-c635-463a-8cd4-eb61725f0c60,https://www.last.fm/music/deadmau5,0,"House, electronic, Progressive House"
Bloodhound Gang,35039670,1635836,b2dbfc09-b332-408b-a235-1850e41971c5,https://www.last.fm/music/Bloodhound+Gang,0,"rock, alternative, alternative rock"
The Fratellis,34768591,1633459,f4ad883e-9a92-45ed-a540-a49c2d1c36dd,https://www.last.fm/music/The+Fratellis,0,"indie, indie rock, british"
Spoon,50051268,1628574,d3b0f18b-71a0-4077-8d42-21243f4172b4,https://www.last.fm/music/Spoon,0,"indie, indie rock, seen live"
Stone Sour,50819561,1620069,4ca783b7-5bf7-4348-b494-46680660050f,https://www.last.fm/music/Stone+Sour,0,"hard rock, metal, alternative metal"
Metric,66167913,1619631,4449ccf6-c948-4d33-aa97-b6ad98ce4b5b,https://www.last.fm/music/Metric,0,"indie, indie rock, female vocalists"
The Jimi Hendrix Experience,33701629,1613100,33b3c323-77c2-417c-a5b4-af7e6a111cc9,https://www.last.fm/music/The+Jimi+Hendrix+Experience,0,"classic rock, Psychedelic Rock, rock"
Foals,78766055,1605151,6a65d878-fcd0-42cf-aff9-ca1d636a8bcc,https://www.last.fm/music/Foals,0,"indie, math rock, indie rock"
Plain White T's,25106296,1602117,49576e42-fbbd-4d73-968d-93c8dcf7f065,https://www.last.fm/music/Plain+White+T%27s,0,"indie, rock, pop punk"
Wolfmother,32849084,1599423,f0c8f75f-8736-4b1d-b312-9349fcff321d,https://www.last.fm/music/Wolfmother,0,"rock, hard rock, Stoner Rock"
Owl City,49977039,1596000,ad279295-653f-42e1-9aaa-b731df2e78ba,https://www.last.fm/music/Owl+City,0,"electronic, indie, powerpop"
Hans Zimmer,82226367,1594004,e6de1f3b-6484-491c-88dd-6d619f142abc,https://www.last.fm/music/Hans+Zimmer,0,"Soundtrack, instrumental, Classical"
Fabolous,12486090,1592889,d2299099-e617-46dd-b013-ba0b4c72bc63,https://www.last.fm/music/Fabolous,0,"Hip-Hop, rap, hip hop"
Yellowcard,49613091,1590910,3630fff3-52fc-4e97-ab01-d68fd88e4135,https://www.last.fm/music/Yellowcard,0,"punk rock, rock, pop punk"
Eels,51314593,1589126,14387b0f-765c-4852-852f-135335790466,https://www.last.fm/music/Eels,0,"indie, alternative, rock"
Sean Paul,20270462,1588730,c3da3346-2643-48a7-93cd-011f6834b3d7,https://www.last.fm/music/Sean+Paul,0,"dancehall, reggae, Hip-Hop"
Chuck Berry,19212817,1583624,592a3b6d-c42b-4567-99c9-ecf63bd66499,https://www.last.fm/music/Chuck+Berry,0,"Rock and Roll, classic rock, blues"
Staind,32186789,1583302,777a21a8-0d0f-4cf3-86b4-65bc0eba5649,https://www.last.fm/music/Staind,0,"rock, alternative rock, alternative"
The Decemberists,64715431,1582886,97b1142f-c71e-4971-8736-4a8ceaf6b4c3,https://www.last.fm/music/The+Decemberists,0,"indie, indie rock, folk"
Bonobo,87792561,1582711,9a709693-b4f8-4da9-8cc1-038c911a61be,https://www.last.fm/music/Bonobo,0,"downtempo, electronic, chillout"
Fiona Apple,50424598,1579574,a9ee533f-8871-4f62-a6bb-91eb264abc90,https://www.last.fm/music/Fiona+Apple,0,"female vocalists, singer-songwriter, alternative"
Wu-Tang Clan,42732455,1579332,,https://www.last.fm/music/Wu-Tang+Clan,0,"Hip-Hop, rap, hip hop"
PJ Harvey,65245843,1570708,e795e03d-b5d5-4a5f-834d-162cfb308a2c,https://www.last.fm/music/PJ+Harvey,0,"female vocalists, alternative, rock"
The Hives,39964791,1569860,487bfd74-71bf-46dd-b89c-80b7a0f06f2f,https://www.last.fm/music/The+Hives,0,"seen live, rock, Garage Rock"
Otis Redding,27257158,1569522,82b1f5fd-cd31-41a9-b5d4-7e33f0eb9751,https://www.last.fm/music/Otis+Redding,0,"soul, rhythm and blues, blues"
Cypress Hill,35722013,1569054,51508c1f-8d07-4a00-9cf1-26c570fe7b78,https://www.last.fm/music/Cypress+Hill,0,"Hip-Hop, rap, rapcore"
Hot Chip,49013212,1561139,d8915e13-d67a-4aa0-9c0b-1f126af951af,https://www.last.fm/music/Hot+Chip,0,"electronic, seen live, indie"
Wale,17309067,1551386,e34e41f2-f480-45d3-8190-a3ce5ab34fab,https://www.last.fm/music/Wale,0,"Hip-Hop, rap, hip hop"
Godsmack,39897943,1550517,ac2d1c91-3667-46aa-9fe7-170ca7fce9e2,https://www.last.fm/music/Godsmack,0,"hard rock, metal, Nu Metal"
Tom Waits,93385018,1542765,c3aeb863-7b26-4388-94e8-5a240f2be21b,https://www.last.fm/music/Tom+Waits,0,"blues, singer-songwriter, experimental"
Natasha Bedingfield,18076618,1538134,8b477559-946e-4ef2-9fe1-446cff8fdd79,https://www.last.fm/music/Natasha+Bedingfield,0,"pop, female vocalists, british"
R. Kelly,16044158,1536980,c2d25856-a09a-4d15-b404-77dd19c19e63,https://www.last.fm/music/R.+Kelly,0,"rnb, soul, Hip-Hop"
Céline Dion,31119261,1534265,847e8a0c-cc20-4213-9e16-975515c2a926,https://www.last.fm/music/C%C3%A9line+Dion,0,"pop, female vocalists, Canadian"
